timestamp,diff
1686787200000,0
1686790800000,0.00081388840001839213
1686794400000,-0.001315687122442788
1686798000000,0.00020319398313151105
1686801600000,0.00015053400606945821
1686805200000,-0.00032386761820069054
1686808800000,-0.00032261172834979757
1686812400000,-0.0016273507894695172
1686816000000,0.00060517924894121222
1686819600000,-0.0001021517372561398
1686823200000,-0.00045934914365730606
1686826800000,-0.00012923524327068669
1686830400000,0.0011873669909379103
1686834000000,-0.00053534002566768546
1686837600000,0.0012372514040872584
1686841200000,-0.00057303068100866827
1686844800000,-0.00046904731315000614
1686848400000,0.000059542551989588688
1686852000000,0.0016164887855343313
1686855600000,0.0020457899999999363
1686859200000,-3.5928260366802078e-11
1686862800000,5.3892224016749424e-11
1686866400000,0
1686870000000,-7.1856520733604157e-11
1686873600000,-1.7963963649947345e-11
1686877200000,-3.5928260366802078e-11
1686880800000,1.6167689409485320e-10
1686884400000,8.9820817450458890e-11
1686888000000,7.1856298688999232e-11
1686891600000,-3.5928260366802078e-11
1686895200000,1.6167711613945812e-10
1686898800000,8.9820817450458890e-11
1686902400000,1.7964074672249808e-11
1686906000000,-2.1556967322311493e-10
1686909600000,-1.6167722716176058e-10
1686913200000,-2.8742619395671909e-10
1686916800000,0.00029729943485068411
1686920400000,0.00057001247302657099
1686924000000,-0.00082288205544578386
1686927600000,0.0013528400000000218
1686931200000,1.2557332951246281e-10
1686934800000,0
1686938400000,4.1259884397959468e-10
1686942000000,-1.4351275723356594e-10
1686945600000,-8.9695473270978709e-11
1686949200000,1.4351253518896101e-10
1686952800000,-3.0496416503211776e-10
1686956400000,1.0763412383596460e-10
1686960000000,1.7938983631893279e-11
1686963600000,-3.2290337070861597e-10
1686967200000,2.1526869176113905e-10
1686970800000,1.9732970812924577e-10
1686974400000,-5.3817283962587226e-11
1686978000000,3.7672065467120319e-10
1686981600000,1.1839793589984993e-9
1686985200000,-1.7939105756425988e-10
1686988800000,-1.2557332951246281e-10
1686992400000,1.0763412383596460e-10
1686996000000,-1.9732981915154824e-10
1686999600000,1.6145174086545921e-10
1687003200000,-3.5878167103930991e-10
1687006800000,7.1756156572178043e-11
1687010400000,0
1687014000000,-2.8702529242252695e-10
1687017600000,-1.0763434588056953e-10
1687021200000,1.0763434588056953e-10
1687024800000,1.0763412383596460e-10
